state,poke_ratio
Puerto Rico,1.699051528
Maryland,1.611693106
Alabama,1.636846327
Georgia,1.653593536
Florida,1.682310761
Texas,1.650612058
California,1.460298561
South Carolina,1.611429439
North Carolina,1.647751244
Ohio,1.751266076
Illinois,1.577681049
Indiana,1.686724544
Colorado,1.646907791
Arizona,1.62250695
Virginia,1.623250688
New Hampshire,1.751500962
Nevada,1.56360893
Massachusetts,1.774748239
Hawaii,1.788769933
New York,1.656964402
Washington,1.630670719
Michigan,1.587536809
Missouri,1.604854969
Pennsylvania,1.67430174
Iowa,1.602716156
Oregon,1.6379736
Nebraska,1.603873494
Connecticut,1.704936915
New Mexico,1.557704017
District of Columbia,1.650759562
New Jersey,1.619067285
Utah,1.541925376
Delaware,1.624892487
Mississippi,1.646894808
Tennessee,1.641497348
Kansas,1.61165563
Kentucky,1.666780106
Rhode Island,1.765971186
Oklahoma,1.730717058
Alaska,1.55866649
South Dakota,1.738667624
Minnesota,1.572635347
Louisiana,1.666559678
Idaho,1.585590171
Wisconsin,1.660218796
Wyoming,1.568361133
AP,1.468061968
Montana,1.615178111
West Virginia,1.621006784
Maine,1.749444779
Arkansas,1.634709528
AS,1.760483786
GU,1.776430968
Vermont,1.596820182
North Dakota,1.394480004
